Designator,Comment,Description,Footprint,Quantity

"C1, C3, C4, C12, C21, C23, C38, C42","10uF","CL31A106KBHNNNE MLCC - SMD/SMT 10UF 50V 1206 ROHS","1206","8"
"C2","22pF","Samsung CL10C220JB8NNNC MLCC - SMD/SMT 22PF 50V 0603 ROHS","0603","1"
"C5, C6, C8, C10, C13, C15, C17, C18, C40","10nF","0603B103K500NT MLCC - SMD/SMT 10NF 50V 0603 ROHS","0603","9"
"C7, C9, C11, C14, C16, C22, C24, C29, C30, C36, C37, C39, C41, C59","100nF","CC0603KRX7R9BB104 MLCC 100nF 0603 X7R 50V","0603","14"
"C19, C20","33pF","Samsung CL10C330JB8NNNC MLCC - SMD/SMT 33PF 50V 0603 ROHS","0603","2"
"C25, C28, C31, C32, C34, C35","18pF","CL10C180JB8NNNC MLCC 18pF 0603 50V","0603","6"
"C26","470pF","0603B471K500NT MLCC 470pF 0603 50V","0603","1"
"C27, C43, C44, C45, C46","1uF","CL10A105KB8NNNC MLCC 1uF 0603 50V","0603","5"
"C33","1000pF","202R18W102KV4E Johanson Dielectrics MLCC - SMD/SMT 2Kvolts 1000pF 10% X7R 1206","1206","1"
"C47, C48, C54, C56","10uF","VEZ100M1ETR-0405","CAP_4 X 5.8_PAN","4"
"C49, C50, C52, C55","0.1uF","CC0805KRX7R9BB104 MLCC 0.1uF 0805 50V","0805-C-1.45mm","4"
"C51, C53","2.2uF","CL31B225KBHNNNE MLCC 2.2uF 1206 50V","1206","2"
"C57, C58","2.2nF","0603B222K500NT MLCC - SMD/SMT 2.2NF 50V 0603 ROHS","0603","2"
"D1","SS34","D-SCH-SMT: MDD(Microdiode Electronics) Diode Schottky 40V 3A 550mV @ 3A SMA(DO-214AC) Schottky Barrier Diodes (SBD) RoHS","DO-214AC","1"
"FB1, FB4, FB5","30R","L-FB-SMT: 30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 _2012 Metric_ 4A 14mOhm","0805-BEAD","3"
"FB2, FB3, FB6, FB7","100R","L-FB-SMT: Sunlord 100 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 _2012 Metric_ 800mA 150mOhm","0805-BEAD","4"
"J6","Debug UART","CONN-HDR-TH: Header, 4-Pin","HEADER-1X4","1"
"J7","NET","CONN-ETH-TH: Connector","G7LXA88S7BPGY","1"
